Time,Hour_of_Year,Hour_of_Day,Month,Temperature,Wind_Speed,Wind_Direction,DNI,DHI,GHI,Precipitable_Water,Streamflow_m3_s,Base_Load_kW,Lighting_Plugs_kW,Induction_Range_kW,Total_Electrical_Load_kW,DHW_Demand_Liters
2024-01-02 19:00:00,44,19,1,,,,,,,,0.031,0.38,0.68,0.7,1.76,11.0
2024-01-02 20:00:00,45,20,1,,,,,,,,0.037,0.39,0.6,0.0,0.99,0.0
2024-01-02 21:00:00,46,21,1,,,,,,,,0.029,0.39,0.42,0.0,0.81,0.0
2024-01-02 22:00:00,47,22,1,,,,,,,,0.037,0.39,0.2,0.0,0.6,0.0
2024-01-02 23:00:00,48,23,1,,,,,,,,0.046,0.37,0.1,0.0,0.47,0.0
2024-01-03 00:00:00,49,0,1,,,,,,,,0.032,0.36,0.09,0.0,0.45,0.0
2024-01-03 01:00:00,50,1,1,,,,,,,,0.039,0.39,0.08,0.0,0.47,0.0
2024-01-03 02:00:00,51,2,1,,,,,,,,0.036,0.38,0.05,0.0,0.43,0.0
2024-01-03 03:00:00,52,3,1,,,,,,,,0.029,0.39,0.09,0.0,0.49,0.0
2024-01-03 04:00:00,53,4,1,,,,,,,,0.032,0.39,0.08,0.0,0.47,0.0
2024-01-03 05:00:00,54,5,1,,,,,,,,0.033,0.37,0.17,0.0,0.53,0.0
2024-01-03 06:00:00,55,6,1,,,,,,,,0.03,0.39,0.36,0.96,1.71,42.0
2024-01-03 07:00:00,56,7,1,,,,,,,,0.033,0.4,0.49,1.02,1.9,12.0
2024-01-03 08:00:00,57,8,1,,,,,,,,0.029,0.36,0.32,1.11,1.79,47.2
2024-01-03 09:00:00,58,9,1,,,,,,,,0.032,0.38,0.17,0.0,0.55,0.0
2024-01-03 10:00:00,59,10,1,,,,,,,,0.033,0.38,0.09,0.0,0.47,0.0
2024-01-03 11:00:00,60,11,1,,,,,,,,0.076,0.35,0.05,0.0,0.4,0.0
2024-01-03 12:00:00,61,12,1,,,,,,,,0.03,0.35,0.06,0.0,0.41,0.0
2024-01-03 13:00:00,62,13,1,,,,,,,,0.035,0.36,0.06,0.0,0.42,0.0
2024-01-03 14:00:00,63,14,1,,,,,,,,0.03,0.39,0.03,0.0,0.42,0.0
2024-01-03 15:00:00,64,15,1,,,,,,,,0.039,0.38,0.14,0.0,0.52,0.0
2024-01-03 16:00:00,65,16,1,,,,,,,,0.031,0.36,0.21,0.0,0.57,0.0
2024-01-03 17:00:00,66,17,1,,,,,,,,0.034,0.38,0.43,2.09,2.91,28.0
2024-01-03 18:00:00,67,18,1,,,,,,,,0.03,0.38,0.62,1.24,2.25,7.0
2024-01-03 19:00:00,68,19,1,,,,,,,,0.034,0.37,0.7,2.45,3.52,5.4
2024-01-03 20:00:00,69,20,1,,,,,,,,0.03,0.38,0.57,0.0,0.95,0.0
2024-01-03 21:00:00,70,21,1,,,,,,,,0.031,0.38,0.43,0.0,0.81,0.0
2024-01-03 22:00:00,71,22,1,,,,,,,,0.03,0.4,0.25,0.0,0.64,0.0
2024-01-03 23:00:00,72,23,1,,,,,,,,0.031,0.39,0.1,0.0,0.49,0.0
2024-01-04 00:00:00,73,0,1,,,,,,,,0.033,0.39,0.05,0.0,0.43,0.0
2024-01-04 01:00:00,74,1,1,,,,,,,,0.032,0.39,0.09,0.0,0.49,0.0
2024-01-04 02:00:00,75,2,1,,,,,,,,0.04,0.38,0.05,0.0,0.43,0.0
2024-01-04 03:00:00,76,3,1,,,,,,,,0.031,0.39,0.09,0.0,0.48,0.0
2024-01-04 04:00:00,77,4,1,,,,,,,,0.046,0.39,0.11,0.0,0.51,0.0
2024-01-04 05:00:00,78,5,1,,,,,,,,0.031,0.39,0.21,0.0,0.61,0.0
2024-01-04 06:00:00,79,6,1,,,,,,,,0.047,0.39,0.33,1.14,1.86,17.4
2024-01-04 07:00:00,80,7,1,,,,,,,,0.033,0.38,0.49,0.91,1.79,17.1
2024-01-04 08:00:00,81,8,1,,,,,,,,0.059,0.36,0.33,0.81,1.5,30.7
2024-01-04 09:00:00,82,9,1,,,,,,,,0.032,0.39,0.24,0.0,0.63,0.0
2024-01-04 10:00:00,83,10,1,,,,,,,,0.03,0.39,0.08,0.0,0.47,0.0
2024-01-04 11:00:00,84,11,1,,,,,,,,0.031,0.39,0.04,0.0,0.43,0.0
2024-01-04 12:00:00,85,12,1,,,,,,,,0.032,0.36,0.05,0.0,0.41,0.0
2024-01-04 13:00:00,86,13,1,,,,,,,,0.047,0.39,0.05,0.0,0.45,0.0
2024-01-04 14:00:00,87,14,1,,,,,,,,0.03,0.39,0.03,0.0,0.42,0.0
2024-01-04 15:00:00,88,15,1,,,,,,,,0.03,0.37,0.1,0.0,0.47,0.0
2024-01-04 16:00:00,89,16,1,,,,,,,,0.033,0.37,0.29,0.0,0.66,0.0
2024-01-04 17:00:00,90,17,1,,,,,,,,0.033,0.4,0.41,2.3,3.1,19.6
2024-01-04 18:00:00,91,18,1,,,,,,,,0.04,0.35,0.57,1.53,2.45,27.5
2024-01-04 19:00:00,92,19,1,,,,,,,,0.03,0.36,0.65,1.21,2.22,0.3
2024-01-04 20:00:00,93,20,1,,,,,,,,0.03,0.39,0.55,0.0,0.94,0.0
2024-01-04 21:00:00,94,21,1,,,,,,,,0.036,0.38,0.37,0.0,0.75,0.0
2024-01-04 22:00:00,95,22,1,,,,,,,,0.032,0.35,0.28,0.0,0.64,0.0
2024-01-04 23:00:00,96,23,1,,,,,,,,0.035,0.38,0.09,0.0,0.48,0.0
2024-01-05 00:00:00,97,0,1,,,,,,,,0.032,0.37,0.06,0.0,0.43,0.0
2024-01-05 01:00:00,98,1,1,,,,,,,,0.038,0.37,0.07,0.0,0.44,0.0
2024-01-05 02:00:00,99,2,1,,,,,,,,0.031,0.36,0.0,0.0,0.36,0.0
2024-01-05 03:00:00,100,3,1,,,,,,,,0.031,0.36,0.08,0.0,0.44,0.0
2024-01-05 04:00:00,101,4,1,,,,,,,,0.032,0.37,0.15,0.0,0.52,0.0
2024-01-05 05:00:00,102,5,1,,,,,,,,0.03,0.38,0.25,0.0,0.63,0.0
2024-01-05 06:00:00,103,6,1,,,,,,,,0.032,0.36,0.36,0.32,1.04,12.0
2024-01-05 07:00:00,104,7,1,,,,,,,,0.031,0.37,0.4,0.31,1.08,41.4
2024-01-05 08:00:00,105,8,1,,,,,,,,0.033,0.38,0.41,0.51,1.3,14.3
2024-01-05 09:00:00,106,9,1,,,,,,,,0.033,0.37,0.25,0.0,0.62,0.0
2024-01-05 10:00:00,107,10,1,,,,,,,,0.03,0.37,0.15,0.0,0.52,0.0
2024-01-05 11:00:00,108,11,1,,,,,,,,0.034,0.36,0.11,0.0,0.47,0.0
2024-01-05 12:00:00,109,12,1,,,,,,,,0.033,0.36,0.03,0.0,0.38,0.0
2024-01-05 13:00:00,110,13,1,,,,,,,,0.031,0.4,0.03,0.0,0.43,0.0
2024-01-05 14:00:00,111,14,1,,,,,,,,0.037,0.4,0.07,0.0,0.46,0.0
2024-01-05 15:00:00,112,15,1,,,,,,,,0.032,0.4,0.09,0.0,0.49,0.0
2024-01-05 16:00:00,113,16,1,,,,,,,,0.038,0.38,0.29,0.0,0.67,0.0
2024-01-05 17:00:00,114,17,1,,,,,,,,0.043,0.36,0.44,2.48,3.28,24.3
2024-01-05 18:00:00,115,18,1,,,,,,,,0.03,0.37,0.53,1.22,2.12,15.9
2024-01-05 19:00:00,116,19,1,,,,,,,,0.048,0.38,0.67,0.73,1.78,2.1
2024-01-05 20:00:00,117,20,1,,,,,,,,0.034,0.39,0.54,0.0,0.93,0.0
2024-01-05 21:00:00,118,21,1,,,,,,,,0.033,0.38,0.44,0.0,0.82,0.0
2024-01-05 22:00:00,119,22,1,,,,,,,,0.031,0.36,0.26,0.0,0.62,0.0
2024-01-05 23:00:00,120,23,1,,,,,,,,0.033,0.39,0.14,0.0,0.53,0.0
2024-01-06 00:00:00,121,0,1,,,,,,,,0.03,0.38,0.03,0.0,0.41,0.0
2024-01-06 01:00:00,122,1,1,,,,,,,,0.03,0.39,0.07,0.0,0.46,0.0
2024-01-06 02:00:00,123,2,1,,,,,,,,0.03,0.38,0.03,0.0,0.41,0.0
2024-01-06 03:00:00,124,3,1,,,,,,,,0.032,0.37,0.01,0.0,0.38,0.0
2024-01-06 04:00:00,125,4,1,,,,,,,,0.042,0.35,0.15,0.0,0.5,0.0
2024-01-06 05:00:00,126,5,1,,,,,,,,0.033,0.37,0.18,0.0,0.54,0.0
2024-01-06 06:00:00,127,6,1,,,,,,,,0.035,0.36,0.4,0.61,1.37,31.9
2024-01-06 07:00:00,128,7,1,,,,,,,,0.031,0.4,0.44,1.19,2.02,13.4
2024-01-06 08:00:00,129,8,1,,,,,,,,0.032,0.37,0.37,0.84,1.58,18.9
2024-01-06 09:00:00,130,9,1,,,,,,,,0.03,0.4,0.19,0.0,0.58,0.0
2024-01-06 10:00:00,131,10,1,,,,,,,,0.038,0.37,0.07,0.0,0.43,0.0
2024-01-06 11:00:00,132,11,1,,,,,,,,0.034,0.36,0.02,0.0,0.37,0.0
2024-01-06 12:00:00,133,12,1,,,,,,,,0.036,0.39,0.0,0.0,0.39,0.0
2024-01-06 13:00:00,134,13,1,,,,,,,,0.033,0.37,0.06,0.0,0.44,0.0
2024-01-06 14:00:00,135,14,1,,,,,,,,0.031,0.39,0.12,0.0,0.51,0.0
2024-01-06 15:00:00,136,15,1,,,,,,,,0.034,0.38,0.1,0.0,0.48,0.0
2024-01-06 16:00:00,137,16,1,,,,,,,,0.031,0.35,0.2,0.0,0.56,0.0
2024-01-06 17:00:00,138,17,1,,,,,,,,0.032,0.35,0.42,1.97,2.74,19.8
2024-01-06 18:00:00,139,18,1,,,,,,,,0.039,0.36,0.58,2.16,3.1,12.6
2024-01-06 19:00:00,140,19,1,,,,,,,,0.038,0.37,0.67,1.15,2.19,12.6
2024-01-06 20:00:00,141,20,1,,,,,,,,0.031,0.37,0.55,0.0,0.92,0.0
2024-01-06 21:00:00,142,21,1,,,,,,,,0.033,0.39,0.45,0.0,0.84,0.0
2024-01-06 22:00:00,143,22,1,,,,,,,,0.039,0.39,0.2,0.0,0.6,0.0
2024-01-06 23:00:00,144,23,1,,,,,,,,0.03,0.37,0.13,0.0,0.51,0.0
2024-01-07 00:00:00,145,0,1,,,,,,,,0.032,0.38,0.06,0.0,0.45,0.0
2024-01-07 01:00:00,146,1,1,,,,,,,,0.032,0.36,0.02,0.0,0.38,0.0
2024-01-07 02:00:00,147,2,1,,,,,,,,0.03,0.4,0.01,0.0,0.4,0.0
2024-01-07 03:00:00,148,3,1,,,,,,,,0.03,0.37,0.02,0.0,0.39,0.0
2024-01-07 04:00:00,149,4,1,,,,,,,,0.03,0.38,0.14,0.0,0.52,0.0
2024-01-07 05:00:00,150,5,1,,,,,,,,0.032,0.38,0.16,0.0,0.54,0.0
2024-01-07 06:00:00,151,6,1,,,,,,,,0.033,0.39,0.35,0.85,1.58,51.3
2024-01-07 07:00:00,152,7,1,,,,,,,,0.03,0.4,0.5,0.75,1.65,25.6
2024-01-07 08:00:00,153,8,1,,,,,,,,0.031,0.37,0.36,0.33,1.06,37.4
2024-01-07 09:00:00,154,9,1,,,,,,,,0.032,0.36,0.18,0.0,0.54,0.0
2024-01-07 10:00:00,155,10,1,,,,,,,,0.052,0.36,0.06,0.0,0.41,0.0
2024-01-07 11:00:00,156,11,1,,,,,,,,0.031,0.39,0.11,0.0,0.49,0.0
2024-01-07 12:00:00,157,12,1,,,,,,,,0.032,0.37,0.09,0.0,0.46,0.0
2024-01-07 13:00:00,158,13,1,,,,,,,,0.033,0.37,0.02,0.0,0.39,0.0
2024-01-07 14:00:00,159,14,1,,,,,,,,0.05,0.4,0.09,0.0,0.48,0.0
2024-01-07 15:00:00,160,15,1,,,,,,,,0.033,0.4,0.14,0.0,0.54,0.0
2024-01-07 16:00:00,161,16,1,,,,,,,,0.051,0.38,0.26,0.0,0.65,0.0
2024-01-07 17:00:00,162,17,1,,,,,,,,0.03,0.36,0.38,1.05,1.79,2.6
2024-01-07 18:00:00,163,18,1,,,,,,,,0.036,0.37,0.55,1.36,2.28,20.5
2024-01-07 19:00:00,164,19,1,,,,,,,,0.031,0.4,0.69,0.9,1.99,3.3
2024-01-07 20:00:00,165,20,1,,,,,,,,0.031,0.38,0.59,0.0,0.97,0.0
2024-01-07 21:00:00,166,21,1,,,,,,,,0.031,0.4,0.4,0.0,0.8,0.0
2024-01-07 22:00:00,167,22,1,,,,,,,,0.03,0.36,0.28,0.0,0.64,0.0
2024-01-07 23:00:00,168,23,1,,,,,,,,0.039,0.38,0.13,0.0,0.51,0.0
2024-01-08 00:00:00,169,0,1,,,,,,,,0.03,0.36,0.01,0.0,0.37,0.0
2024-01-08 01:00:00,170,1,1,,,,,,,,0.031,0.39,0.08,0.0,0.47,0.0
2024-01-08 02:00:00,171,2,1,,,,,,,,0.032,0.4,0.09,0.0,0.48,0.0
2024-01-08 03:00:00,172,3,1,,,,,,,,0.031,0.35,0.02,0.0,0.37,0.0
2024-01-08 04:00:00,173,4,1,,,,,,,,0.033,0.37,0.07,0.0,0.44,0.0
2024-01-08 05:00:00,174,5,1,,,,,,,,0.03,0.35,0.19,0.0,0.54,0.0
2024-01-08 06:00:00,175,6,1,,,,,,,,0.031,0.35,0.33,0.75,1.43,12.1
2024-01-08 07:00:00,176,7,1,,,,,,,,0.031,0.37,0.47,0.46,1.3,38.5
2024-01-08 08:00:00,177,8,1,,,,,,,,0.031,0.38,0.33,0.77,1.48,53.8
2024-01-08 09:00:00,178,9,1,,,,,,,,0.043,0.39,0.17,0.0,0.57,0.0
2024-01-08 10:00:00,179,10,1,,,,,,,,0.031,0.4,0.15,0.0,0.55,0.0
2024-01-08 11:00:00,180,11,1,,,,,,,,0.031,0.36,0.07,0.0,0.43,0.0
2024-01-08 12:00:00,181,12,1,,,,,,,,0.033,0.36,0.04,0.0,0.4,0.0
2024-01-08 13:00:00,182,13,1,,,,,,,,0.038,0.36,0.04,0.0,0.4,0.0
2024-01-08 14:00:00,183,14,1,,,,,,,,0.031,0.35,0.07,0.0,0.42,0.0
2024-01-08 15:00:00,184,15,1,,,,,,,,0.033,0.38,0.11,0.0,0.48,0.0
2024-01-08 16:00:00,185,16,1,,,,,,,,0.03,0.38,0.29,0.0,0.66,0.0
2024-01-08 17:00:00,186,17,1,,,,,,,,0.033,0.35,0.46,2.29,3.1,14.5
2024-01-08 18:00:00,187,18,1,,,,,,,,0.032,0.35,0.63,2.21,3.18,24.9
2024-01-08 19:00:00,188,19,1,,,,,,,,0.03,0.37,0.69,1.91,2.97,22.3
2024-01-08 20:00:00,189,20,1,,,,,,,,0.03,0.35,0.62,0.0,0.98,0.0
2024-01-08 21:00:00,190,21,1,,,,,,,,0.04,0.35,0.41,0.0,0.76,0.0
2024-01-08 22:00:00,191,22,1,,,,,,,,0.037,0.37,0.22,0.0,0.6,0.0
2024-01-08 23:00:00,192,23,1,,,,,,,,0.034,0.39,0.12,0.0,0.51,0.0
2024-01-09 00:00:00,193,0,1,,,,,,,,0.042,0.38,0.08,0.0,0.46,0.0
2024-01-09 01:00:00,194,1,1,,,,,,,,0.035,0.36,0.01,0.0,0.37,0.0
2024-01-09 02:00:00,195,2,1,,,,,,,,0.031,0.38,0.0,0.0,0.39,0.0
2024-01-09 03:00:00,196,3,1,,,,,,,,0.033,0.37,0.08,0.0,0.45,0.0
2024-01-09 04:00:00,197,4,1,,,,,,,,0.045,0.35,0.11,0.0,0.46,0.0
2024-01-09 05:00:00,198,5,1,,,,,,,,0.031,0.37,0.24,0.0,0.61,0.0
2024-01-09 06:00:00,199,6,1,,,,,,,,0.032,0.39,0.38,0.5,1.27,38.9
2024-01-09 07:00:00,200,7,1,,,,,,,,0.034,0.36,0.42,0.71,1.49,26.9
2024-01-09 08:00:00,201,8,1,,,,,,,,0.045,0.37,0.39,0.82,1.58,6.5
2024-01-09 09:00:00,202,9,1,,,,,,,,0.035,0.37,0.26,0.0,0.63,0.0
2024-01-09 10:00:00,203,10,1,,,,,,,,0.031,0.39,0.11,0.0,0.5,0.0
2024-01-09 11:00:00,204,11,1,,,,,,,,0.033,0.38,0.03,0.0,0.41,0.0
2024-01-09 12:00:00,205,12,1,,,,,,,,0.033,0.37,0.02,0.0,0.39,0.0
2024-01-09 13:00:00,206,13,1,,,,,,,,0.035,0.37,0.03,0.0,0.4,0.0
2024-01-09 14:00:00,207,14,1,,,,,,,,0.03,0.4,0.1,0.0,0.49,0.0
2024-01-09 15:00:00,208,15,1,,,,,,,,0.03,0.36,0.16,0.0,0.53,0.0
2024-01-09 16:00:00,209,16,1,,,,,,,,0.032,0.35,0.21,0.0,0.56,0.0
2024-01-09 17:00:00,210,17,1,,,,,,,,0.032,0.39,0.46,2.15,3.01,6.3
2024-01-09 18:00:00,211,18,1,,,,,,,,0.031,0.37,0.6,1.0,1.97,24.6
2024-01-09 19:00:00,212,19,1,,,,,,,,0.033,0.35,0.64,1.46,2.45,26.4
2024-01-09 20:00:00,213,20,1,,,,,,,,0.032,0.4,0.56,0.0,0.95,0.0
2024-01-09 21:00:00,214,21,1,,,,,,,,0.052,0.38,0.44,0.0,0.82,0.0
2024-01-09 22:00:00,215,22,1,,,,,,,,0.031,0.36,0.25,0.0,0.61,0.0
2024-01-09 23:00:00,216,23,1,,,,,,,,0.03,0.38,0.12,0.0,0.5,0.0
2024-01-10 00:00:00,217,0,1,,,,,,,,0.044,0.36,0.01,0.0,0.38,0.0
2024-01-10 01:00:00,218,1,1,,,,,,,,0.031,0.37,0.06,0.0,0.43,0.0
2024-01-10 02:00:00,219,2,1,,,,,,,,0.034,0.37,0.05,0.0,0.42,0.0
2024-01-10 03:00:00,220,3,1,,,,,,,,0.04,0.39,0.08,0.0,0.47,0.0
2024-01-10 04:00:00,221,4,1,,,,,,,,0.049,0.36,0.15,0.0,0.51,0.0
2024-01-10 05:00:00,222,5,1,,,,,,,,0.033,0.36,0.21,0.0,0.57,0.0
2024-01-10 06:00:00,223,6,1,,,,,,,,0.03,0.4,0.42,0.67,1.48,29.5
2024-01-10 07:00:00,224,7,1,,,,,,,,0.034,0.39,0.4,0.22,1.02,13.2
2024-01-10 08:00:00,225,8,1,,,,,,,,0.032,0.4,0.38,0.36,1.14,40.9
2024-01-10 09:00:00,226,9,1,,,,,,,,0.031,0.35,0.25,0.0,0.6,0.0
2024-01-10 10:00:00,227,10,1,,,,,,,,0.038,0.36,0.07,0.0,0.43,0.0
2024-01-10 11:00:00,228,11,1,,,,,,,,0.037,0.4,0.06,0.0,0.46,0.0
2024-01-10 12:00:00,229,12,1,,,,,,,,0.043,0.36,0.08,0.0,0.45,0.0
2024-01-10 13:00:00,230,13,1,,,,,,,,0.033,0.39,0.06,0.0,0.44,0.0
2024-01-10 14:00:00,231,14,1,,,,,,,,0.03,0.4,0.08,0.0,0.48,0.0
2024-01-10 15:00:00,232,15,1,,,,,,,,0.053,0.39,0.09,0.0,0.48,0.0
2024-01-10 16:00:00,233,16,1,,,,,,,,0.03,0.37,0.28,0.0,0.65,0.0
2024-01-10 17:00:00,234,17,1,,,,,,,,0.031,0.38,0.36,1.23,1.98,22.2
2024-01-10 18:00:00,235,18,1,,,,,,,,0.031,0.37,0.58,2.15,3.1,29.9
2024-01-10 19:00:00,236,19,1,,,,,,,,0.035,0.37,0.65,0.8,1.81,2.3
2024-01-10 20:00:00,237,20,1,,,,,,,,0.032,0.39,0.54,0.0,0.93,0.0
2024-01-10 21:00:00,238,21,1,,,,,,,,0.035,0.4,0.39,0.0,0.79,0.0
2024-01-10 22:00:00,239,22,1,,,,,,,,0.03,0.37,0.27,0.0,0.64,0.0
2024-01-10 23:00:00,240,23,1,,,,,,,,0.032,0.38,0.17,0.0,0.55,0.0
2024-01-11 00:00:00,241,0,1,,,,,,,,0.037,0.37,0.02,0.0,0.39,0.0
2024-01-11 01:00:00,242,1,1,,,,,,,,0.039,0.4,0.1,0.0,0.49,0.0
2024-01-11 02:00:00,243,2,1,,,,,,,,0.036,0.39,0.02,0.0,0.41,0.0
2024-01-11 03:00:00,244,3,1,,,,,,,,0.034,0.38,0.07,0.0,0.45,0.0
2024-01-11 04:00:00,245,4,1,,,,,,,,0.031,0.39,0.12,0.0,0.51,0.0
2024-01-11 05:00:00,246,5,1,,,,,,,,0.031,0.36,0.23,0.0,0.59,0.0
2024-01-11 06:00:00,247,6,1,,,,,,,,0.036,0.35,0.4,0.81,1.56,18.0
2024-01-11 07:00:00,248,7,1,,,,,,,,0.033,0.38,0.46,0.4,1.24,8.5
2024-01-11 08:00:00,249,8,1,,,,,,,,0.031,0.38,0.32,0.4,1.11,7.8
2024-01-11 09:00:00,250,9,1,,,,,,,,0.037,0.36,0.22,0.0,0.57,0.0
2024-01-11 10:00:00,251,10,1,,,,,,,,0.031,0.36,0.14,0.0,0.5,0.0
2024-01-11 11:00:00,252,11,1,,,,,,,,0.043,0.4,0.07,0.0,0.47,0.0
2024-01-11 12:00:00,253,12,1,,,,,,,,0.031,0.36,0.02,0.0,0.38,0.0
2024-01-11 13:00:00,254,13,1,,,,,,,,0.031,0.36,0.03,0.0,0.39,0.0
2024-01-11 14:00:00,255,14,1,,,,,,,,0.031,0.37,0.08,0.0,0.44,0.0
2024-01-11 15:00:00,256,15,1,,,,,,,,0.032,0.4,0.09,0.0,0.49,0.0
2024-01-11 16:00:00,257,16,1,,,,,,,,0.035,0.37,0.21,0.0,0.57,0.0
2024-01-11 17:00:00,258,17,1,,,,,,,,0.032,0.36,0.42,0.88,1.66,2.2
2024-01-11 18:00:00,259,18,1,,,,,,,,0.047,0.36,0.62,1.73,2.72,18.8
2024-01-11 19:00:00,260,19,1,,,,,,,,0.032,0.39,0.62,1.27,2.28,9.9
2024-01-11 20:00:00,261,20,1,,,,,,,,0.031,0.39,0.58,0.0,0.97,0.0
2024-01-11 21:00:00,262,21,1,,,,,,,,0.033,0.39,0.4,0.0,0.78,0.0
2024-01-11 22:00:00,263,22,1,,,,,,,,0.058,0.39,0.27,0.0,0.66,0.0
2024-01-11 23:00:00,264,23,1,,,,,,,,0.032,0.4,0.13,0.0,0.53,0.0
2024-01-12 00:00:00,265,0,1,,,,,,,,0.03,0.39,0.06,0.0,0.45,0.0
2024-01-12 01:00:00,266,1,1,,,,,,,,0.031,0.38,0.05,0.0,0.44,0.0
2024-01-12 02:00:00,267,2,1,,,,,,,,0.034,0.39,0.08,0.0,0.47,0.0
2024-01-12 03:00:00,268,3,1,,,,,,,,0.03,0.4,0.03,0.0,0.43,0.0
2024-01-12 04:00:00,269,4,1,,,,,,,,0.047,0.39,0.14,0.0,0.52,0.0
2024-01-12 05:00:00,270,5,1,,,,,,,,0.031,0.39,0.18,0.0,0.56,0.0
2024-01-12 06:00:00,271,6,1,,,,,,,,0.03,0.37,0.38,0.89,1.64,8.1
2024-01-12 07:00:00,272,7,1,,,,,,,,0.078,0.37,0.45,0.62,1.45,38.2
2024-01-12 08:00:00,273,8,1,,,,,,,,0.045,0.4,0.36,0.93,1.68,2.7
2024-01-12 09:00:00,274,9,1,,,,,,,,0.031,0.39,0.22,0.0,0.61,0.0
