Time,Hour_of_Year,Hour_of_Day,Month,Temperature,Wind_Speed,Wind_Direction,DNI,DHI,GHI,Streamflow_m3_s,Base_Load_kW,Lighting_Plugs_kW,Induction_Range_kW,Total_Electrical_Load_kW,DHW_Demand_Liters
2023-01-02 00:00:00,25,0,1,5.800000000000001,2.3000000000000003,114,2,15,15,0.031,0.37,0.62,1.7,2.69,24.7
2023-01-02 01:00:00,26,1,1,5.4,2.4000000000000004,123,0,0,0,0.03,0.4,0.62,2.39,3.41,21.3
2023-01-02 02:00:00,27,2,1,5.2,2.4000000000000004,129,0,0,0,0.03,0.39,0.41,1.54,2.33,25.2
2023-01-02 03:00:00,28,3,1,5.1000000000000005,2.7,124,0,0,0,0.032,0.38,0.29,0.0,0.67,0.0
2023-01-02 04:00:00,29,4,1,5.2,3.2,117,0,0,0,0.031,0.37,0.12,0.0,0.49,0.0
2023-01-02 05:00:00,30,5,1,5.300000000000001,3.3000000000000003,115,0,0,0,0.03,0.38,0.04,0.0,0.43,0.0
2023-01-02 06:00:00,31,6,1,5.0,3.0,123,0,0,0,0.029,0.38,0.07,0.0,0.45,0.0
2023-01-02 07:00:00,32,7,1,4.5,2.7,136,0,0,0,0.03,0.37,0.07,0.0,0.44,0.0
2023-01-02 08:00:00,33,8,1,4.1000000000000005,2.9000000000000004,141,0,0,0,0.03,0.37,0.04,0.0,0.41,0.0
2023-01-02 09:00:00,34,9,1,4.0,3.3000000000000003,134,0,0,0,0.029,0.4,0.1,0.0,0.5,0.0
2023-01-02 10:00:00,35,10,1,4.1000000000000005,3.5,128,0,0,0,0.035,0.36,0.04,0.0,0.41,0.0
2023-01-02 11:00:00,36,11,1,4.0,3.6,129,0,0,0,0.029,0.36,0.09,0.0,0.45,0.0
2023-01-02 12:00:00,37,12,1,3.9,3.7,131,0,0,0,0.032,0.35,0.19,0.0,0.55,0.0
2023-01-02 13:00:00,38,13,1,3.9,3.7,132,0,0,0,0.064,0.39,0.35,0.0,0.73,0.0
2023-01-02 14:00:00,39,14,1,4.0,3.6,136,0,0,0,0.03,0.35,0.48,0.9,1.73,33.4
2023-01-02 15:00:00,40,15,1,4.1000000000000005,3.4000000000000004,140,0,0,0,0.043,0.39,0.41,0.81,1.6,15.1
2023-01-02 16:00:00,41,16,1,4.5,3.4000000000000004,144,1,24,24,0.036,0.39,0.26,1.13,1.79,30.8
2023-01-02 17:00:00,42,17,1,5.2,3.5,150,13,89,92,0.03,0.37,0.11,0.0,0.47,0.0
2023-01-02 18:00:00,43,18,1,6.0,3.6,151,4,74,75,0.03,0.37,0.05,0.0,0.42,0.0
2023-01-02 19:00:00,44,19,1,6.7,3.9,151,15,122,128,0.031,0.36,0.05,0.0,0.4,0.0
2023-01-02 20:00:00,45,20,1,7.0,4.2,156,2,60,61,0.03,0.39,0.12,0.0,0.51,0.0
2023-01-02 21:00:00,46,21,1,6.800000000000001,4.6000000000000005,163,4,93,94,0.03,0.4,0.29,0.0,0.69,0.0
2023-01-02 22:00:00,47,22,1,6.5,4.7,171,23,114,121,0.034,0.39,0.39,0.0,0.78,0.0
2023-01-02 23:00:00,48,23,1,6.5,4.2,188,28,74,79,0.032,0.37,0.55,0.0,0.92,0.0
2023-01-03 00:00:00,49,0,1,6.9,3.7,213,0,6,6,0.031,0.4,0.63,0.67,1.7,8.7
2023-01-03 01:00:00,50,1,1,7.300000000000001,3.6,237,0,0,0,0.047,0.36,0.6,0.93,1.88,6.7
2023-01-03 02:00:00,51,2,1,7.7,3.5,248,0,0,0,0.032,0.38,0.39,1.89,2.67,16.3
2023-01-03 03:00:00,52,3,1,8.0,3.3000000000000003,248,0,0,0,0.03,0.36,0.21,0.0,0.58,0.0
2023-01-03 04:00:00,53,4,1,8.0,3.1,240,0,0,0,0.03,0.38,0.16,0.0,0.54,0.0
2023-01-03 05:00:00,54,5,1,8.0,2.9000000000000004,230,0,0,0,0.036,0.4,0.11,0.0,0.51,0.0
2023-01-03 06:00:00,55,6,1,8.0,2.8000000000000003,220,0,0,0,0.034,0.38,0.1,0.0,0.48,0.0
2023-01-03 07:00:00,56,7,1,8.0,2.7,210,0,0,0,0.031,0.38,0.06,0.0,0.44,0.0
2023-01-03 08:00:00,57,8,1,7.9,2.7,202,0,0,0,0.03,0.38,0.07,0.0,0.45,0.0
2023-01-03 09:00:00,58,9,1,7.800000000000001,2.7,194,0,0,0,0.037,0.37,0.02,0.0,0.39,0.0
2023-01-03 10:00:00,59,10,1,7.5,2.8000000000000003,187,0,0,0,0.03,0.36,0.06,0.0,0.42,0.0
2023-01-03 11:00:00,60,11,1,7.2,2.9000000000000004,181,0,0,0,0.032,0.39,0.13,0.0,0.51,0.0
2023-01-03 12:00:00,61,12,1,7.0,3.0,175,0,0,0,0.036,0.37,0.21,0.0,0.58,0.0
2023-01-03 13:00:00,62,13,1,6.800000000000001,3.1,167,0,0,0,0.03,0.4,0.32,0.0,0.72,0.0
2023-01-03 14:00:00,63,14,1,6.800000000000001,3.3000000000000003,162,0,0,0,0.034,0.39,0.47,0.26,1.12,31.8
2023-01-03 15:00:00,64,15,1,6.9,3.5,159,0,0,0,0.04,0.36,0.35,0.47,1.18,33.4
2023-01-03 16:00:00,65,16,1,7.1000000000000005,3.7,157,4,35,35,0.03,0.39,0.23,1.09,1.71,7.9
2023-01-03 17:00:00,66,17,1,7.5,3.9,158,39,99,107,0.029,0.37,0.06,0.0,0.44,0.0
2023-01-03 18:00:00,67,18,1,7.6,4.1000000000000005,160,42,145,158,0.032,0.37,0.03,0.0,0.4,0.0
2023-01-03 19:00:00,68,19,1,7.4,4.3,160,227,165,250,0.036,0.36,0.13,0.0,0.48,0.0
2023-01-03 20:00:00,69,20,1,7.300000000000001,4.4,157,93,143,179,0.033,0.4,0.16,0.0,0.56,0.0
2023-01-03 21:00:00,70,21,1,7.5,4.6000000000000005,158,11,101,105,0.03,0.38,0.2,0.0,0.58,0.0
2023-01-03 22:00:00,71,22,1,7.5,4.6000000000000005,162,25,62,69,0.03,0.38,0.41,0.0,0.79,0.0
2023-01-03 23:00:00,72,23,1,7.5,4.4,163,1,20,20,0.032,0.35,0.6,0.0,0.96,0.0
2023-01-04 00:00:00,73,0,1,7.4,4.1000000000000005,162,0,8,8,0.031,0.36,0.67,1.2,2.23,11.1
2023-01-04 01:00:00,74,1,1,7.4,3.7,165,0,0,0,0.037,0.35,0.62,2.11,3.07,8.1
2023-01-04 02:00:00,75,2,1,7.7,3.5,172,0,0,0,0.03,0.39,0.45,0.91,1.76,28.9
2023-01-04 03:00:00,76,3,1,8.0,3.2,183,0,0,0,0.039,0.39,0.23,0.0,0.62,0.0
2023-01-04 04:00:00,77,4,1,8.200000000000001,2.8000000000000003,190,0,0,0,0.039,0.39,0.08,0.0,0.47,0.0
2023-01-04 05:00:00,78,5,1,8.0,2.2,178,0,0,0,0.039,0.36,0.12,0.0,0.48,0.0
2023-01-04 06:00:00,79,6,1,7.7,2.2,153,0,0,0,0.03,0.37,0.04,0.0,0.42,0.0
2023-01-04 07:00:00,80,7,1,7.300000000000001,2.6,135,0,0,0,0.033,0.37,0.01,0.0,0.38,0.0
2023-01-04 08:00:00,81,8,1,6.9,3.0,122,0,0,0,0.031,0.36,0.07,0.0,0.43,0.0
2023-01-04 09:00:00,82,9,1,6.800000000000001,3.3000000000000003,114,0,0,0,0.03,0.35,0.05,0.0,0.4,0.0
2023-01-04 10:00:00,83,10,1,6.800000000000001,3.5,108,0,0,0,0.03,0.36,0.11,0.0,0.47,0.0
2023-01-04 11:00:00,84,11,1,6.9,3.6,104,0,0,0,0.032,0.4,0.14,0.0,0.54,0.0
2023-01-04 12:00:00,85,12,1,7.0,3.6,104,0,0,0,0.036,0.37,0.22,0.0,0.59,0.0
2023-01-04 13:00:00,86,13,1,7.0,3.7,100,0,0,0,0.031,0.39,0.32,0.0,0.71,0.0
2023-01-04 14:00:00,87,14,1,7.0,3.9,96,0,0,0,0.037,0.39,0.45,0.4,1.24,37.9
2023-01-04 15:00:00,88,15,1,7.1000000000000005,4.2,96,0,0,0,0.03,0.39,0.36,0.27,1.02,32.0
2023-01-04 16:00:00,89,16,1,7.4,4.4,103,0,10,10,0.03,0.37,0.24,0.95,1.55,52.0
2023-01-04 17:00:00,90,17,1,7.9,4.5,112,2,33,33,0.03,0.37,0.12,0.0,0.49,0.0
2023-01-04 18:00:00,91,18,1,8.4,4.9,117,0,27,27,0.03,0.38,0.05,0.0,0.43,0.0
2023-01-04 19:00:00,92,19,1,9.0,5.5,117,0,31,31,0.035,0.36,0.04,0.0,0.4,0.0
2023-01-04 20:00:00,93,20,1,9.6,5.7,116,1,51,51,0.032,0.35,0.12,0.0,0.47,0.0
2023-01-04 21:00:00,94,21,1,9.9,5.4,119,1,45,45,0.031,0.4,0.28,0.0,0.68,0.0
2023-01-04 22:00:00,95,22,1,10.1,4.9,123,2,29,30,0.031,0.35,0.44,0.0,0.79,0.0
2023-01-04 23:00:00,96,23,1,10.3,4.6000000000000005,126,2,24,24,0.034,0.39,0.57,0.0,0.95,0.0
2023-01-05 00:00:00,97,0,1,10.5,4.3,130,0,12,12,0.031,0.38,0.69,0.73,1.8,2.8
2023-01-05 01:00:00,98,1,1,10.5,4.2,134,0,0,0,0.03,0.4,0.62,2.03,3.05,12.4
2023-01-05 02:00:00,99,2,1,10.4,4.1000000000000005,137,0,0,0,0.03,0.38,0.46,1.73,2.57,20.7
2023-01-05 03:00:00,100,3,1,10.2,4.0,136,0,0,0,0.03,0.38,0.27,0.0,0.65,0.0
2023-01-05 04:00:00,101,4,1,10.1,3.8,134,0,0,0,0.03,0.39,0.09,0.0,0.49,0.0
2023-01-05 05:00:00,102,5,1,9.9,3.8,131,0,0,0,0.033,0.37,0.04,0.0,0.41,0.0
2023-01-05 06:00:00,103,6,1,9.9,3.8,127,0,0,0,0.035,0.39,0.09,0.0,0.49,0.0
2023-01-05 07:00:00,104,7,1,9.8,3.8,124,0,0,0,0.03,0.36,0.06,0.0,0.41,0.0
2023-01-05 08:00:00,105,8,1,9.6,3.9,123,0,0,0,0.033,0.38,0.05,0.0,0.43,0.0
2023-01-05 09:00:00,106,9,1,9.5,4.2,125,0,0,0,0.03,0.4,0.02,0.0,0.42,0.0
2023-01-05 10:00:00,107,10,1,9.4,4.6000000000000005,129,0,0,0,0.03,0.39,0.05,0.0,0.44,0.0
2023-01-05 11:00:00,108,11,1,9.5,4.9,134,0,0,0,0.046,0.39,0.14,0.0,0.54,0.0
2023-01-05 12:00:00,109,12,1,9.7,5.1000000000000005,141,0,0,0,0.032,0.38,0.18,0.0,0.56,0.0
2023-01-05 13:00:00,110,13,1,10.1,5.300000000000001,150,0,0,0,0.032,0.4,0.38,0.0,0.77,0.0
2023-01-05 14:00:00,111,14,1,10.5,5.7,159,0,0,0,0.038,0.39,0.45,1.12,1.96,34.2
2023-01-05 15:00:00,112,15,1,11.0,6.2,168,0,0,0,0.031,0.4,0.38,0.88,1.66,1.0
2023-01-05 16:00:00,113,16,1,11.4,6.5,174,0,20,20,0.031,0.39,0.24,0.42,1.05,3.7
2023-01-05 17:00:00,114,17,1,11.7,6.7,181,43,101,110,0.035,0.39,0.13,0.0,0.52,0.0
2023-01-05 18:00:00,115,18,1,11.6,6.6000000000000005,190,8,94,97,0.033,0.36,0.1,0.0,0.47,0.0
2023-01-05 19:00:00,116,19,1,11.3,6.2,196,20,139,147,0.033,0.37,0.12,0.0,0.49,0.0
2023-01-05 20:00:00,117,20,1,11.0,5.9,199,4,64,66,0.038,0.39,0.13,0.0,0.52,0.0
2023-01-05 21:00:00,118,21,1,10.7,5.6000000000000005,201,0,53,53,0.036,0.36,0.26,0.0,0.62,0.0
2023-01-05 22:00:00,119,22,1,10.4,5.4,203,9,60,63,0.046,0.38,0.37,0.0,0.75,0.0
2023-01-05 23:00:00,120,23,1,10.1,5.2,204,1,34,34,0.036,0.38,0.54,0.0,0.92,0.0
2023-01-06 00:00:00,121,0,1,9.8,4.9,205,0,8,8,0.031,0.35,0.65,1.45,2.45,7.4
2023-01-06 01:00:00,122,1,1,9.7,4.5,204,0,0,0,0.037,0.38,0.54,1.94,2.86,13.6
2023-01-06 02:00:00,123,2,1,9.5,4.2,201,0,0,0,0.035,0.37,0.38,1.4,2.14,4.2
2023-01-06 03:00:00,124,3,1,9.4,4.1000000000000005,197,0,0,0,0.034,0.39,0.21,0.0,0.59,0.0
2023-01-06 04:00:00,125,4,1,9.3,4.2,195,0,0,0,0.049,0.38,0.16,0.0,0.53,0.0
2023-01-06 05:00:00,126,5,1,9.1,4.3,192,0,0,0,0.033,0.38,0.08,0.0,0.47,0.0
2023-01-06 06:00:00,127,6,1,9.0,4.5,188,0,0,0,0.032,0.39,0.03,0.0,0.42,0.0
2023-01-06 07:00:00,128,7,1,8.8,4.6000000000000005,184,0,0,0,0.032,0.35,0.06,0.0,0.41,0.0
2023-01-06 08:00:00,129,8,1,8.6,4.6000000000000005,179,0,0,0,0.033,0.39,0.08,0.0,0.47,0.0
2023-01-06 09:00:00,130,9,1,8.4,4.5,173,0,0,0,0.031,0.39,0.09,0.0,0.48,0.0
2023-01-06 10:00:00,131,10,1,8.200000000000001,4.5,166,0,0,0,0.031,0.36,0.08,0.0,0.44,0.0
2023-01-06 11:00:00,132,11,1,8.0,4.5,161,0,0,0,0.03,0.39,0.13,0.0,0.52,0.0
2023-01-06 12:00:00,133,12,1,7.9,4.5,157,0,0,0,0.03,0.36,0.25,0.0,0.61,0.0
2023-01-06 13:00:00,134,13,1,7.9,4.6000000000000005,155,0,0,0,0.031,0.37,0.36,0.0,0.72,0.0
2023-01-06 14:00:00,135,14,1,7.800000000000001,4.7,154,0,0,0,0.032,0.38,0.48,0.72,1.57,49.1
2023-01-06 15:00:00,136,15,1,7.9,4.7,154,0,0,0,0.031,0.38,0.35,0.68,1.4,11.8
2023-01-06 16:00:00,137,16,1,8.3,4.800000000000001,156,2,28,28,0.03,0.4,0.23,0.76,1.39,48.4
2023-01-06 17:00:00,138,17,1,8.9,4.9,160,44,86,96,0.062,0.39,0.07,0.0,0.46,0.0
2023-01-06 18:00:00,139,18,1,9.4,5.2,163,6,89,91,0.033,0.4,0.09,0.0,0.49,0.0
2023-01-06 19:00:00,140,19,1,9.8,5.4,164,6,110,112,0.032,0.36,0.03,0.0,0.39,0.0
2023-01-06 20:00:00,141,20,1,10.1,5.5,167,24,144,153,0.036,0.38,0.15,0.0,0.53,0.0
2023-01-06 21:00:00,142,21,1,10.3,5.4,171,4,92,93,0.035,0.39,0.24,0.0,0.63,0.0
2023-01-06 22:00:00,143,22,1,10.5,4.9,174,39,84,96,0.03,0.39,0.46,0.0,0.85,0.0
2023-01-06 23:00:00,144,23,1,10.5,4.3,176,0,15,15,0.031,0.39,0.58,0.0,0.97,0.0
2023-01-07 00:00:00,145,0,1,10.5,3.8,180,0,8,8,0.034,0.39,0.63,1.34,2.36,29.2
2023-01-07 01:00:00,146,1,1,10.5,3.3000000000000003,185,0,0,0,0.038,0.36,0.57,2.04,2.98,6.3
2023-01-07 02:00:00,147,2,1,10.5,3.0,187,0,0,0,0.033,0.35,0.41,2.13,2.89,20.0
2023-01-07 03:00:00,148,3,1,10.4,3.0,186,0,0,0,0.033,0.37,0.29,0.0,0.66,0.0
2023-01-07 04:00:00,149,4,1,10.3,3.2,182,0,0,0,0.036,0.39,0.09,0.0,0.48,0.0
2023-01-07 05:00:00,150,5,1,9.9,3.5,177,0,0,0,0.041,0.38,0.07,0.0,0.45,0.0
2023-01-07 06:00:00,151,6,1,9.4,3.7,172,0,0,0,0.034,0.39,0.03,0.0,0.43,0.0
2023-01-07 07:00:00,152,7,1,9.0,3.7,170,0,0,0,0.031,0.39,0.09,0.0,0.48,0.0
2023-01-07 08:00:00,153,8,1,8.9,3.5,173,0,0,0,0.03,0.36,0.09,0.0,0.45,0.0
2023-01-07 09:00:00,154,9,1,9.0,3.2,178,0,0,0,0.035,0.36,0.01,0.0,0.37,0.0
2023-01-07 10:00:00,155,10,1,8.9,2.8000000000000003,176,0,0,0,0.035,0.36,0.04,0.0,0.4,0.0
2023-01-07 11:00:00,156,11,1,8.8,2.3000000000000003,159,0,0,0,0.03,0.36,0.13,0.0,0.49,0.0
2023-01-07 12:00:00,157,12,1,8.700000000000001,2.2,133,0,0,0,0.041,0.35,0.22,0.0,0.57,0.0
2023-01-07 13:00:00,158,13,1,8.6,2.3000000000000003,112,0,0,0,0.033,0.4,0.41,0.0,0.81,0.0
2023-01-07 14:00:00,159,14,1,8.5,2.6,108,0,0,0,0.033,0.38,0.49,0.76,1.63,8.5
2023-01-07 15:00:00,160,15,1,8.5,3.0,122,0,0,0,0.03,0.39,0.4,0.94,1.74,45.0
2023-01-07 16:00:00,161,16,1,8.8,3.1,147,0,14,14,0.034,0.36,0.19,0.57,1.12,39.8
2023-01-07 17:00:00,162,17,1,9.4,3.1,173,13,67,70,0.041,0.36,0.12,0.0,0.47,0.0
2023-01-07 18:00:00,163,18,1,9.9,3.1,194,60,112,131,0.031,0.39,0.1,0.0,0.48,0.0
2023-01-07 19:00:00,164,19,1,10.1,2.6,208,13,114,119,0.03,0.37,0.11,0.0,0.48,0.0
2023-01-07 20:00:00,165,20,1,10.1,1.9,203,76,149,179,0.031,0.39,0.09,0.0,0.48,0.0
2023-01-07 21:00:00,166,21,1,10.0,1.6,174,809,57,355,0.03,0.39,0.21,0.0,0.6,0.0
2023-01-07 22:00:00,167,22,1,9.8,1.9,143,749,51,274,0.036,0.39,0.43,0.0,0.82,0.0
2023-01-07 23:00:00,168,23,1,9.5,2.3000000000000003,123,22,31,35,0.044,0.36,0.54,0.0,0.9,0.0
2023-01-08 00:00:00,169,0,1,9.2,2.6,102,0,10,10,0.03,0.38,0.64,0.98,2.0,16.3
2023-01-08 01:00:00,170,1,1,9.1,3.1,94,0,0,0,0.032,0.37,0.59,1.57,2.53,19.1
2023-01-08 02:00:00,171,2,1,9.1,3.6,103,0,0,0,0.039,0.36,0.38,2.45,3.19,16.5
2023-01-08 03:00:00,172,3,1,9.0,4.1000000000000005,117,0,0,0,0.031,0.4,0.22,0.0,0.62,0.0
2023-01-08 04:00:00,173,4,1,8.700000000000001,4.3,128,0,0,0,0.035,0.39,0.11,0.0,0.5,0.0
2023-01-08 05:00:00,174,5,1,8.6,4.3,132,0,0,0,0.032,0.4,0.11,0.0,0.51,0.0
2023-01-08 06:00:00,175,6,1,8.700000000000001,4.1000000000000005,133,0,0,0,0.035,0.37,0.03,0.0,0.4,0.0
2023-01-08 07:00:00,176,7,1,8.9,4.0,132,0,0,0,0.032,0.4,0.05,0.0,0.45,0.0
2023-01-08 08:00:00,177,8,1,8.9,4.2,134,0,0,0,0.031,0.39,0.02,0.0,0.42,0.0
2023-01-08 09:00:00,178,9,1,8.6,4.5,138,0,0,0,0.03,0.36,0.0,0.0,0.36,0.0
2023-01-08 10:00:00,179,10,1,8.3,4.9,144,0,0,0,0.037,0.37,0.1,0.0,0.47,0.0
2023-01-08 11:00:00,180,11,1,8.3,5.0,151,0,0,0,0.033,0.35,0.06,0.0,0.41,0.0
2023-01-08 12:00:00,181,12,1,8.6,4.800000000000001,159,0,0,0,0.031,0.4,0.2,0.0,0.6,0.0
2023-01-08 13:00:00,182,13,1,9.0,4.800000000000001,172,0,0,0,0.034,0.38,0.38,0.0,0.76,0.0
2023-01-08 14:00:00,183,14,1,9.2,4.800000000000001,188,0,0,0,0.032,0.38,0.49,0.51,1.39,28.1
2023-01-08 15:00:00,184,15,1,9.4,4.9,199,0,0,0,0.033,0.4,0.38,0.75,1.53,10.2
2023-01-08 16:00:00,185,16,1,9.6,5.2,204,0,14,14,0.031,0.4,0.21,0.34,0.94,48.1
2023-01-08 17:00:00,186,17,1,9.8,5.7,203,52,54,65,0.03,0.39,0.09,0.0,0.48,0.0
2023-01-08 18:00:00,187,18,1,9.8,6.1000000000000005,201,21,82,89,0.062,0.39,0.09,0.0,0.49,0.0
2023-01-08 19:00:00,188,19,1,9.8,6.2,200,322,159,282,0.031,0.38,0.06,0.0,0.44,0.0
2023-01-08 20:00:00,189,20,1,10.2,6.1000000000000005,202,83,129,162,0.032,0.38,0.12,0.0,0.5,0.0
2023-01-08 21:00:00,190,21,1,10.5,6.0,202,28,74,84,0.031,0.4,0.25,0.0,0.65,0.0
2023-01-08 22:00:00,191,22,1,10.5,5.5,199,103,109,140,0.031,0.35,0.46,0.0,0.81,0.0
2023-01-08 23:00:00,192,23,1,10.3,5.1000000000000005,195,3,47,48,0.034,0.39,0.61,0.0,1.0,0.0
2023-01-09 00:00:00,193,0,1,10.4,4.800000000000001,192,0,12,12,0.031,0.38,0.64,1.34,2.36,7.1
2023-01-09 01:00:00,194,1,1,10.3,4.6000000000000005,188,0,0,0,0.031,0.37,0.54,1.83,2.74,27.5
2023-01-09 02:00:00,195,2,1,10.0,4.4,182,0,0,0,0.037,0.37,0.43,1.89,2.69,22.0
2023-01-09 03:00:00,196,3,1,9.7,3.9,173,0,0,0,0.032,0.38,0.28,0.0,0.66,0.0
2023-01-09 04:00:00,197,4,1,9.4,3.6,162,0,0,0,0.033,0.4,0.14,0.0,0.53,0.0
2023-01-09 05:00:00,198,5,1,8.9,3.4000000000000004,149,0,0,0,0.066,0.37,0.07,0.0,0.44,0.0
2023-01-09 06:00:00,199,6,1,8.4,3.5,132,0,0,0,0.031,0.35,0.08,0.0,0.43,0.0
2023-01-09 07:00:00,200,7,1,8.200000000000001,3.7,117,0,0,0,0.032,0.35,0.09,0.0,0.44,0.0
2023-01-09 08:00:00,201,8,1,8.200000000000001,3.9,109,0,0,0,0.031,0.36,0.02,0.0,0.38,0.0
2023-01-09 09:00:00,202,9,1,8.200000000000001,4.3,106,0,0,0,0.033,0.37,0.04,0.0,0.41,0.0
2023-01-09 10:00:00,203,10,1,8.200000000000001,4.7,108,0,0,0,0.032,0.35,0.04,0.0,0.39,0.0
2023-01-09 11:00:00,204,11,1,8.200000000000001,5.0,114,0,0,0,0.034,0.4,0.14,0.0,0.54,0.0
2023-01-09 12:00:00,205,12,1,8.4,5.0,122,0,0,0,0.032,0.36,0.26,0.0,0.62,0.0
2023-01-09 13:00:00,206,13,1,8.9,5.0,133,0,0,0,0.031,0.38,0.39,0.0,0.77,0.0
2023-01-09 14:00:00,207,14,1,9.6,4.9,155,0,0,0,0.032,0.4,0.4,0.92,1.71,3.5
2023-01-09 15:00:00,208,15,1,10.2,5.4,187,0,0,0,0.031,0.39,0.34,0.91,1.64,19.9
2023-01-09 16:00:00,209,16,1,10.2,6.2,206,1,30,30,0.034,0.4,0.18,0.81,1.4,51.2
2023-01-09 17:00:00,210,17,1,9.9,6.5,207,98,78,100,0.035,0.39,0.09,0.0,0.48,0.0
2023-01-09 18:00:00,211,18,1,9.8,6.5,206,88,144,172,0.034,0.4,0.02,0.0,0.42,0.0
2023-01-09 19:00:00,212,19,1,9.9,6.300000000000001,206,1,62,62,0.032,0.36,0.1,0.0,0.46,0.0
2023-01-09 20:00:00,213,20,1,10.1,6.0,204,137,176,231,0.036,0.39,0.16,0.0,0.56,0.0
2023-01-09 21:00:00,214,21,1,10.2,5.5,199,41,130,145,0.041,0.37,0.29,0.0,0.66,0.0
2023-01-09 22:00:00,215,22,1,10.3,5.2,192,2,49,50,0.032,0.35,0.39,0.0,0.74,0.0
2023-01-09 23:00:00,216,23,1,10.1,5.1000000000000005,188,1,21,21,0.03,0.39,0.55,0.0,0.94,0.0
2023-01-10 00:00:00,217,0,1,10.0,5.0,186,0,16,16,0.038,0.38,0.66,1.24,2.28,5.9
2023-01-10 01:00:00,218,1,1,10.0,4.9,182,0,0,0,0.035,0.38,0.56,1.07,2.01,11.8
2023-01-10 02:00:00,219,2,1,10.0,4.9,178,0,0,0,0.031,0.37,0.38,0.9,1.65,17.5
2023-01-10 03:00:00,220,3,1,9.8,4.9,173,0,0,0,0.032,0.38,0.21,0.0,0.58,0.0
2023-01-10 04:00:00,221,4,1,9.4,4.800000000000001,168,0,0,0,0.037,0.36,0.1,0.0,0.46,0.0
2023-01-10 05:00:00,222,5,1,8.9,4.4,163,0,0,0,0.031,0.38,0.09,0.0,0.48,0.0
2023-01-10 06:00:00,223,6,1,8.4,3.9,156,0,0,0,0.03,0.36,0.07,0.0,0.42,0.0
2023-01-10 07:00:00,224,7,1,7.800000000000001,3.3000000000000003,144,0,0,0,0.031,0.4,0.01,0.0,0.41,0.0
2023-01-10 08:00:00,225,8,1,7.2,2.9000000000000004,127,0,0,0,0.032,0.36,0.0,0.0,0.36,0.0
